RT60 data saved by REW V5.40 Beta 132
Source: Scarlett 4i4 4th Gen, Scarlett 4i4 4th Gen , 1, volume: no control
Dated: May 22, 2026, 6:05:16 AM
Measurement: rt60_measurement_03
Sweep level: -20.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 0.01640225 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

63, 1/1, 0.276, -0.960, 0.927, -0.988, 1.070, -0.992, 1.155, -0.996, -11.000, -46.000, 0.000, Forward, 10.28, 13.83, 8.22, 91.4, 0.032
125, 1/1, 0.271, -0.951, 0.469, -0.996, 0.553, -0.993, 0.472, -0.994, -10.000, -27.000, 0.000, Forward, 10.80, 15.53, 7.73, 92.3, 0.019
250, 1/1, 0.053, -0.963, 0.470, -0.986, 0.479, -0.996, 0.470, -0.998, -10.000, -43.000, 0.000, Forward, 13.56, 20.46, 11.74, 95.8, 0.010
500, 1/1, 0.060, -0.942, 0.441, -0.981, 0.423, -0.994, 0.437, -0.997, -10.000, -40.000, 0.000, Forward, 16.39, 20.29, 12.83, 97.8, 0.006
1000, 1/1, 0.044, -0.897, 0.457, -0.986, 0.436, -0.997, 0.475, -0.999, -11.000, -57.000, 0.000, Forward, 17.20, 20.58, 12.56, 98.1, 0.005
2000, 1/1, 0.010, -0.938, 0.337, -0.984, 0.415, -0.992, 0.473, -0.999, -13.000, -60.000, 0.000, Forward, 20.87, 24.99, 14.75, 99.2, 0.003
4000, 1/1, 0.062, -0.730, 0.290, -0.971, 0.374, -0.987, 0.453, -0.999, -14.000, -60.000, 0.000, Forward, 21.49, 25.49, 15.17, 99.3, 0.002
8000, 1/1, 0.003, -0.932, 0.259, -0.994, 0.316, -0.993, 0.386, -0.997, -12.000, -56.000, 0.000, Forward, 22.34, 27.60, 15.58, 99.4, 0.002

full, 1/1, 0.001, -0.967, 0.251, -0.987, 0.330, -0.990, 0.394, -0.996, -14.000, -46.000, 0.000, Forward, 23.69, 28.57, 17.24, 99.6, 0.001

