File,N,Mean [ms],SD [ms],Min [ms],Max [ms]
P01_01_a.csv,515,0.4908487533980582,0.08000213355019375,0.3204,0.8059
P01_02_b.csv,515,0.5065980737864078,0.08814996458213196,0.3163,0.9904
P01_03_c.csv,515,0.5246194330097088,0.08790494195704625,0.3296,0.8947
P02_01_c.csv,515,0.4021955495145631,0.07248531627509773,0.2605,0.8003
P02_02_b.csv,515,0.4105724427184467,0.07872312131639495,0.2919,0.819
P02_03_a.csv,515,0.40777496699029125,0.07409421102854452,0.2162,0.7743
P03_01_b.csv,515,0.5084054524271844,0.08186480701154863,0.2222,0.8199
P03_02_c.csv,515,0.4953870058252427,0.08199047109684665,0.3065,0.8727
P03_03_a.csv,515,0.5058438990291262,0.08265007312887077,0.306,0.8568
P04_01_a.csv,515,0.3969852582524272,0.07564556838391648,0.2371,0.8569
P04_02_c.csv,515,0.5052697242718447,0.09087769689904557,0.3012,1.117
P04_03_b.csv,515,0.5007367145631069,0.07614203684382077,0.3003,0.8722
P05_01_c.csv,515,0.49928389902912623,0.07901860426776458,0.3174,1.0087
P05_02_a.csv,515,0.46534758834951456,0.09766215056978736,0.2938,1.067
P05_03_b.csv,515,0.48073593786407764,0.0775073500878848,0.3024,0.8758
P06_01_b.csv,515,0.4785167145631068,0.0898282236020727,0.2962,0.9113
P06_02_a.csv,515,0.5079229281553398,0.09273550859001171,0.2894,1.1367
P06_03_c.csv,515,0.5313798213592233,0.09177819366343873,0.3036,0.8679
P07_01_c.csv,515,0.504089918446602,0.08642630268076534,0.3143,0.8537
P07_02_b.csv,515,0.48887671456310683,0.08912977730407723,0.3072,0.9389
P07_03_a.csv,515,0.534092054368932,0.09736209478120225,0.2958,0.9813
P08_01_a.csv,515,0.41123749126213593,0.06572162843255093,0.2943,0.8471
P08_02_b.csv,515,0.40803613203883493,0.07808661534374796,0.2833,0.8476
P08_03_c.csv,515,0.4115574912621359,0.07236588930051438,0.283,0.763
P09_01_b.csv,515,0.5021004038834952,0.08327808471396568,0.2759,0.9661
P09_02_c.csv,515,0.49939496699029123,0.09292853626763531,0.297,0.9299
P09_03_a.csv,515,0.5133592388349515,0.08696754402597427,0.3203,0.8451
P10_01_c.csv,515,0.3895625398058252,0.06312440699611178,0.2939,0.6705
P10_02_a.csv,515,0.39277729708737863,0.06072518865583749,0.2954,0.8208
P10_03_b.csv,515,0.4051516660194175,0.0735074206963426,0.2949,1.014
P11_01_b.csv,515,0.3915466174757281,0.06761439054366122,0.2791,0.7266
P11_02_a.csv,515,0.39677050097087374,0.06796002362139184,0.2697,0.7713
P11_03_c.csv,515,0.3897563262135922,0.06360828908151683,0.2978,0.8286
P12_01_a.csv,515,0.3943392388349514,0.06719377769433597,0.2847,0.7879
P12_02_c.csv,515,0.38697749126213593,0.06669303942654584,0.2843,0.7605
P12_03_b.csv,515,0.3848586563106796,0.05930577791088412,0.2966,0.7264
P13_01_a.csv,515,0.4935446757281553,0.08277176849237748,0.2879,1.1168
P13_02_b.csv,515,0.5257870058252427,0.09382788223409386,0.2898,0.859
P13_03_c.csv,515,0.5015227339805826,0.11700598554178411,0.3049,1.1196
P14_01_c.csv,515,0.40632991844660193,0.07694477148703334,0.2957,0.8193
P14_02_b.csv,515,0.4014893359223301,0.07774834615630505,0.2924,0.9188
P14_03_a.csv,515,0.40095613203883496,0.07593224281628283,0.2936,0.8429
P15_01_b.csv,515,0.40181943300970874,0.0683472715836048,0.2812,0.7474
P15_02_c.csv,515,0.3949922485436893,0.06695023530010677,0.2589,1.0015
P15_03_a.csv,515,0.38634234563106795,0.06487128288736312,0.2508,0.856
P16_01_a.csv,515,0.42175807378640784,0.15384763899644524,0.2817,1.2787
P16_02_c.csv,515,0.40401923883495144,0.06890355636783528,0.1964,0.7759
P16_03_b.csv,515,0.41296040388349514,0.11609243085019866,0.216,1.1963
P17_01_c.csv,515,0.4934151611650486,0.07779381128833966,0.2876,0.7392
P17_02_a.csv,515,0.4320864233009709,0.13918055466286966,0.2153,1.014
P17_03_b.csv,515,0.4400231223300971,0.1339185564048062,0.2969,1.0376
P18_01_b.csv,515,0.5097328310679611,0.09632259338040002,0.3077,1.119
P18_02_a.csv,515,0.49005283106796116,0.07907123183713426,0.211,0.8556
P18_03_c.csv,515,0.5050285592233009,0.07973908699541121,0.3138,0.8701
P19_01_c.csv,515,0.40610564660194176,0.0781448348914341,0.288,0.837
P19_02_b.csv,515,0.3915081708737864,0.06583386395495275,0.2803,0.7742
P19_03_a.csv,515,0.4065037048543689,0.07289215131964555,0.2903,0.7988
P20_01_a.csv,515,0.4094211805825243,0.0860003917596973,0.2185,0.8073
P20_02_b.csv,515,0.4043392388349515,0.06996221742249469,0.2791,0.826
P20_03_c.csv,515,0.41534001553398053,0.08144316256826217,0.2595,0.7443
Overall,30900,0.4479664556634304,0.09880812758221653,0.1964,1.2787
