participant,block,n_std,n_dev,mmn_amplitude_uV,mmn_polarity,p3a_amplitude_uV,p3a_polarity,mmn_snr,p3a_snr,baseline_mean_uV_std_cond,baseline_mean_uV_dev_cond,custom_ref_applied
P01,A,297,100,-0.25516380193351207,negative (expected),-0.2074679289846264,NEGATIVE (unusual!),1.4121932501401155,1.601513330298306,0.00032525170075409275,0.0010269538405718048,True
P01,B,296,99,-0.5145745537835202,negative (expected),-0.28138641481712534,NEGATIVE (unusual!),1.8741059819130452,1.4175050065181343,-0.0010685543412485004,1.9220268041089015e-05,True
P02,A,300,98,-0.03669463463116376,negative (expected),0.11553665442836608,positive (expected),0.6081892773676548,0.8981623396035682,-0.0016706743395366393,-0.005434649670231621,True
P02,B,295,100,0.3399076194807407,POSITIVE (unusual!),-0.11773494965177209,NEGATIVE (unusual!),1.4871612161273573,2.288192254167933,-0.0033029202063974664,-0.0023735038191892073,True
P03,A,211,67,0.6569114813081224,POSITIVE (unusual!),-0.3372686630185861,NEGATIVE (unusual!),1.9413894226572468,1.4348746656747795,-0.007406324086306235,-0.0021393845657080197,True
P03,B,214,79,-0.7966751308777228,negative (expected),-0.9718908224193206,NEGATIVE (unusual!),2.2505766557620737,3.495922767327347,-0.0035317829017183734,0.004092259882760624,True
P04,A,300,100,0.6741022811246995,POSITIVE (unusual!),-0.29142343531860593,NEGATIVE (unusual!),2.4586855883920173,1.1179794897312325,-0.002083230417626745,-0.0024283316109031433,True
P05,A,291,98,-0.05515858770450702,negative (expected),-0.09631619335861352,NEGATIVE (unusual!),0.5598803739793163,0.8408339256706553,-0.002299791217820013,-0.0027874491881116105,True
P06,A,298,99,-0.330048675471243,negative (expected),-0.035466665593261906,NEGATIVE (unusual!),0.9359804525233895,0.5006150657184656,-0.0006265219017399179,0.006289206002649208,True
P06,B,300,100,0.539362492328278,POSITIVE (unusual!),0.3504514358089302,positive (expected),2.2802059339288587,1.520768902939414,-0.00011381740908532617,-0.0015206130937987672,True
P07,A,299,100,-0.2323428135285776,negative (expected),-0.2874444725893759,NEGATIVE (unusual!),1.1705482090560158,1.9643269410088218,-0.0016176749818909214,-0.0013559240836325318,True
P07,B,300,99,0.06920399241340551,POSITIVE (unusual!),-0.0004342315771599576,NEGATIVE (unusual!),0.8757022069403978,1.7001199903856326,0.0003383085159024078,0.0018838611507994074,True
P08,A,299,99,-0.35101056734833125,negative (expected),-0.5230731147779019,NEGATIVE (unusual!),1.3132946818768756,1.8379515140574827,0.0005725911842242997,-0.0016617586757471056,True
P08,B,297,100,0.5491349924654003,POSITIVE (unusual!),0.5973719120996532,positive (expected),1.5073780871414806,2.5553782849570252,0.0003428641816121998,-0.007532672764769302,True
P09,A,300,100,-0.09081305830436479,negative (expected),-0.12670404204416966,NEGATIVE (unusual!),0.9592271184389195,0.6214131073192158,-0.0005847473505277558,-0.00014350848426443924,True
P09,B,299,99,0.11196936889513283,POSITIVE (unusual!),-0.048634069166823356,NEGATIVE (unusual!),0.6428507529658574,0.7418093095786481,-3.1501640001495385e-05,0.0037900162312047877,True
P10,A,295,98,0.5037392670547316,POSITIVE (unusual!),0.8362801738443499,positive (expected),1.0574386707743424,2.0121776866729624,0.001236951741467623,-0.004248713389387917,True
P10,B,296,98,0.6030186504751534,POSITIVE (unusual!),0.42908727697930177,positive (expected),1.2548569776319707,1.4300017451278872,0.006002888854369234,-0.004278290377581031,True
P11,A,276,94,0.8907724314922791,POSITIVE (unusual!),-0.01120350518402411,NEGATIVE (unusual!),1.6927836662819058,0.7430458589414826,-0.00099852744374698,-0.009564420702660925,True
P11,B,286,96,0.9121313599038767,POSITIVE (unusual!),0.5991109214597639,positive (expected),1.570924219747685,1.3814601015476875,0.0010526214938229729,-0.00969346094974255,True
P12,A,299,99,0.29863990471999036,POSITIVE (unusual!),-0.37071309213036,NEGATIVE (unusual!),0.7810657187818606,1.426846753482786,-0.0006571576916246797,0.0012306240934273351,True
P12,B,291,98,-0.3611461764266678,negative (expected),0.18241370648134647,positive (expected),1.1039596137109198,1.0400076680382213,-0.00509528330370382,-0.012688385546610307,True
P13,A,286,91,-0.2726080603093427,negative (expected),-0.4701015365002691,NEGATIVE (unusual!),1.0802490640609073,1.292341457194517,-0.0014546792063028886,0.006055737636308981,True
P13,B,294,99,0.9194515596052567,POSITIVE (unusual!),1.6827802135497816,positive (expected),2.6673144875011943,6.398117980394955,-0.005753273549511608,0.0035867119731592565,True
P14,A,291,98,-0.015499990981687767,negative (expected),-0.38951298761292336,NEGATIVE (unusual!),1.1639128334041429,1.4792067424435789,0.0022443027130608444,-0.004698113326384549,True
P14,B,296,96,-0.038166478498524226,negative (expected),0.33888057889489853,positive (expected),0.9648905056336363,1.4390922384821254,-0.00032091983583390287,-0.0019415988476731419,True
P15,A,131,41,-0.7925347198367773,negative (expected),-0.640115161697427,NEGATIVE (unusual!),0.8932371418947272,0.9251545153159906,0.005818058777861278,0.0028367191558325918,True
P15,B,251,87,-0.17118736407784937,negative (expected),-0.4619116535736237,NEGATIVE (unusual!),1.4065669705967194,1.4385570631129376,0.003360971306956472,0.0018369017226103222,True
P16,A,299,100,-0.4115477600687575,negative (expected),-1.157713094527171,NEGATIVE (unusual!),1.1967514747805421,2.782470867610998,-0.007351422992698046,-0.008910341705638902,True
P16,B,299,98,0.6553526344841751,POSITIVE (unusual!),1.0079251262358666,positive (expected),1.4107278441011653,2.9402288141492363,-0.00302556941419725,-0.013370495472767426,True
P17,A,281,96,-0.3475059900631022,negative (expected),-0.06474294763769538,NEGATIVE (unusual!),1.2283317990446811,0.885435144831826,0.0006308092415844039,-0.0074699592945957,True
P17,B,194,62,0.21157116506804127,POSITIVE (unusual!),0.7553613866668432,positive (expected),1.2430588551301656,2.3730351155445972,0.0007945487468184518,0.0012240747604446902,True
P18,A,291,97,-0.28793813485501984,negative (expected),-0.29295217693701375,NEGATIVE (unusual!),1.5611846553184783,1.6006795066510564,-2.874514272620692e-05,-0.003068115429493376,True
P18,B,284,99,0.8926346699895827,POSITIVE (unusual!),0.5129430790964992,positive (expected),1.9790785263637694,1.5095912574942965,-0.0014841615823273228,0.0032670371214383706,True
P19,A,296,99,0.011086163290396992,POSITIVE (unusual!),0.09585673435406486,positive (expected),1.0242126883975877,1.1692908837490696,-0.0037379229265802946,0.001250723473131289,True
