participant,block,cond,n_epochs_final,n_channels,n_bad_channels_recorded,bad_channels,n_bridged_pairs,n_ica_removed,pct_rejected,line_noise_ratio_50hz,alpha_power_ratio,n_channels_still_outlying,still_outlying_channels,median_channel_variance,gfp_mean,gfp_peak,gfp_peak_latency_ms
P15,A,dev,41,32,8,F8;TP10;FT10;FT9;T8;T7;TP9;Fp2,0,2,59.0,,1.4027808123652428,2,FT9;FT10,7.602326979202071e-11,1.294241970106786e-06,2.8806694284485203e-06,286.0
P15,A,std,131,32,8,F8;TP10;FT10;FT9;T8;T7;TP9;Fp2,0,2,56.3,,1.4046081717216274,2,FT9;FT10,7.644367526653678e-11,7.859641968756787e-07,1.5549994448567152e-06,342.0
P15,B,dev,87,32,8,FC1;F8;FT10;T7;T8;TP10;FT9;F7,0,2,13.0,,1.9928969043793896,1,FT10,8.251307261971169e-11,9.327153706892526e-07,1.7728936845806573e-06,490.0
P15,B,std,251,32,8,FC1;F8;FT10;T7;T8;TP10;FT9;F7,0,2,16.3,,1.9017981352052808,1,FT10,8.289225550266525e-11,8.035718945200932e-07,1.6854701729947076e-06,398.0
P15,C,std,288,32,8,TP10;FT10;T7;T8;F8;TP9;FT9;FC6,0,2,42.4,,1.5787529390359594,1,FT9,9.372275962272078e-11,5.735233474142622e-07,1.0824243177870795e-06,428.0
P16,A,dev,100,32,4,Fp1;CP5;T8;Fp2,0,1,0.0,,1.9433376628030192,0,,4.6459555990199366e-11,7.255614646134737e-07,1.7421527009888444e-06,244.0
P16,A,std,299,32,4,Fp1;CP5;T8;Fp2,0,1,0.3,,2.078099812419296,0,,4.943403192534865e-11,7.134622099960159e-07,1.377466745512158e-06,208.0
P16,B,dev,98,32,2,Fp1;Fp2,0,1,2.0,,2.074935404232331,0,,5.201748435947827e-11,8.994184406641717e-07,2.0801900697535585e-06,262.0
P16,B,std,299,32,2,Fp1;Fp2,0,1,0.3,,2.1863250079564396,0,,5.2569673835400705e-11,5.921193664754296e-07,1.1344994215198614e-06,276.0
P16,C,std,498,32,2,Fp1;Fp2,0,1,0.4,,2.0313366705702385,0,,5.0588560948864605e-11,5.300106347272121e-07,1.1637517614988717e-06,230.0
P17,A,std,281,32,8,Fp1;FT9;T7;TP9;T8;FT10;F8;Fp2,1,2,6.3,,1.7797932438588153,0,,5.7485101963450414e-11,4.369557337363343e-07,8.285387752736476e-07,288.0
P17,A,dev,96,32,8,Fp1;FT9;T7;TP9;T8;FT10;F8;Fp2,1,2,4.0,,1.7188920470608133,0,,5.952006391072855e-11,7.192004958900066e-07,1.1990371189170913e-06,396.0
P17,B,std,194,32,6,FT9;T7;TP9;CP6;FC6;F8,1,2,35.3,,1.7797428237384616,3,FT9;FC5;TP9,4.945778414758197e-11,6.337969002797116e-07,1.2547677527433283e-06,500.0
P17,B,dev,62,32,6,FT9;T7;TP9;CP6;FC6;F8,1,2,38.0,,1.8733649159129848,3,FT9;FC5;TP9,4.925379858857427e-11,8.449288244755622e-07,1.3285177222508452e-06,474.0
P17,C,std,448,32,3,FT9;P8;T8,1,2,10.4,,1.92831419522829,0,,7.200503667159274e-11,5.063374347911185e-07,9.413818607745221e-07,496.0
P18,A,dev,97,32,8,Fp1;F7;FT9;TP10;T8;FT10;F8;Fp2,0,1,3.0,,1.187088964554455,0,,4.2595629321742514e-11,6.861451610029102e-07,1.5277429940298593e-06,338.0
P18,A,std,291,32,8,Fp1;F7;FT9;TP10;T8;FT10;F8;Fp2,0,1,3.0,,1.2349140385343012,0,,4.2553514921042073e-11,3.9403341680394734e-07,8.799870253033685e-07,432.0
P18,B,dev,99,32,8,T8;Fp1;TP10;FC6;FT9;FT10;F7;Fp2,0,1,1.0,,1.2115468849425948,1,FT10,4.2166983992743143e-11,8.757389861505889e-07,1.6771945250833116e-06,282.0
P18,B,std,284,32,8,T8;Fp1;TP10;FC6;FT9;FT10;F7;Fp2,0,1,5.3,,1.2080586931588662,2,FT10;F8,3.634306771864951e-11,4.852731238888459e-07,1.0891104963217423e-06,470.0
P19,A,std,296,32,2,FT9;Fp2,0,1,1.3,,2.491029250072453,0,,5.7688885454765515e-11,3.923971151489993e-07,7.854764606365431e-07,374.0
P19,A,dev,99,32,2,FT9;Fp2,0,1,1.0,,2.5115413526429125,0,,5.6221233441293776e-11,6.263570681606301e-07,1.108762839566038e-06,254.0
P19,B,std,296,32,3,Fp1;FT10;Fp2,0,1,1.3,,1.8883031307009082,1,O1,3.920371181886895e-11,3.9666280322194207e-07,8.554669550991374e-07,438.0
P19,B,dev,98,32,3,Fp1;FT10;Fp2,0,1,2.0,,2.065428514138856,1,O1,3.948069564067436e-11,6.488481033656207e-07,1.2426937622000338e-06,498.0
P19,C,std,485,32,6,Fp1;FT9;FC5;T7;FC6;Fp2,0,1,3.0,,3.24419173807572,0,,5.0594181680305654e-11,2.5839136080089446e-07,5.126370729415988e-07,330.0
P20,A,dev,85,32,8,T8;FT10;FT9;F8;F7;F4;Fp1;Fp2,0,0,15.0,,1.9690397788076401,3,Fp1;Fz;Fp2,6.981344003087548e-11,8.913471903056079e-07,2.010220742803728e-06,300.0
P20,A,std,268,32,8,T8;FT10;FT9;F8;F7;F4;Fp1;Fp2,0,0,10.7,,2.0187690640873033,3,Fp1;Fz;Fp2,7.206959290853518e-11,5.934221695043684e-07,1.2650861729566703e-06,276.0
P20,B,dev,100,32,8,Fp2;FT9;FT10;F3;F7;T7;F8;TP9,0,2,0.0,,1.979324725027383,4,Fz;FT9;T8;FT10,9.896926829314004e-12,3.166615022659185e-07,5.988118252556413e-07,84.0
P20,B,std,300,32,8,Fp2;FT9;FT10;F3;F7;T7;F8;TP9,0,2,0.0,,1.9890135803909754,2,Fz;FT9,9.829093686476673e-12,2.0748402535539456e-07,4.302187321225315e-07,446.0
P20,C,std,500,32,6,Fp1;T7;TP9;T8;FT10;Fp2,0,1,0.0,,1.8935052233505107,0,,1.0222191091419471e-11,1.8053873068309067e-07,3.4292734850614737e-07,354.0
