trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,11,0.0,2359806500067500,0.0008208,0.8208
2,11,0.9,2359807399592700,0.900346,0.346
3,11,1.8,2359808299590700,1.800344,0.344
4,11,2.7,2359809199616100,2.7003694,0.3694
5,11,3.6,2359810099617400,3.6003707,0.3707
6,11,4.5,2359810999653300,4.5004066,0.4066
7,11,5.4,2359811899574300,5.4003276,0.3276
8,11,6.3,2359812799701100,6.3004544,0.4544
9,11,7.2,2359813699644200,7.2003975,0.3975
10,11,8.1,2359814599609600,8.1003629,0.3629
11,11,9.0,2359815499622600,9.0003759,0.3759
12,11,9.9,2359816399702500,9.9004558,0.4558
13,11,10.8,2359817299696300,10.8004496,0.4496
14,11,11.7,2359818199700100,11.7004534,0.4534
15,11,12.6,2359819099590700,12.600344,0.344
16,11,13.5,2359819999580000,13.5003333,0.3333
17,11,14.4,2359820899581500,14.4003348,0.3348
18,11,15.3,2359821799601200,15.3003545,0.3545
19,12,16.2,2359822699544800,16.2002981,0.2981
20,11,17.1,2359823599582200,17.1003355,0.3355
21,11,18.0,2359824499627700,18.000381,0.381
22,12,18.9,2359825399590400,18.9003437,0.3437
23,11,19.8,2359826299568300,19.8003216,0.3216
24,11,20.7,2359827199664600,20.7004179,0.4179
25,11,21.6,2359828099635400,21.6003887,0.3887
26,11,22.5,2359828999576200,22.5003295,0.3295
27,12,23.4,2359829899563900,23.4003172,0.3172
28,11,24.3,2359830799620200,24.3003735,0.3735
29,11,25.2,2359831699640400,25.2003937,0.3937
30,11,26.1,2359832599609900,26.1003632,0.3632
31,11,27.0,2359833499613100,27.0003664,0.3664
32,11,27.9,2359834399602800,27.9003561,0.3561
33,11,28.8,2359835299602500,28.8003558,0.3558
34,12,29.7,2359836199597100,29.7003504,0.3504
35,11,30.6,2359837099669800,30.6004231,0.4231
36,11,31.5,2359837999585700,31.500339,0.339
37,12,32.4,2359838899659500,32.4004128,0.4128
38,11,33.3,2359839799575400,33.3003287,0.328701
39,11,34.2,2359840699561800,34.2003151,0.3151
40,11,35.1,2359841599601200,35.1003545,0.3545
41,12,36.0,2359842499599200,36.0003525,0.3525
42,11,36.9,2359843399562800,36.9003161,0.3161
43,11,37.8,2359844299656900,37.8004102,0.4102
44,12,38.7,2359845199588400,38.7003417,0.3417
45,11,39.6,2359846099757000,39.6005103,0.5103
46,11,40.5,2359846999651000,40.5004043,0.4043
47,11,41.4,2359847899721700,41.400475,0.475
48,11,42.3,2359848799572700,42.300326,0.326
49,11,43.2,2359849699584200,43.2003375,0.3375
50,12,44.1,2359850599609700,44.100363,0.363
51,11,45.0,2359851499594900,45.0003482,0.3482
52,11,45.9,2359852399670900,45.9004242,0.4242
53,11,46.8,2359853299597600,46.8003509,0.3509
54,12,47.7,2359854199665000,47.7004183,0.4183
55,11,48.6,2359855099683500,48.6004368,0.4368
56,11,49.5,2359855999696000,49.5004493,0.4493
57,11,50.4,2359856899570200,50.4003235,0.3235
58,11,51.3,2359857799610000,51.3003633,0.3633
59,11,52.2,2359858699746800,52.2005001,0.5001
60,12,53.1,2359859599602800,53.1003561,0.3561
61,11,54.0,2359860499621800,54.0003751,0.3751
62,11,54.9,2359861399637500,54.9003908,0.3908
63,11,55.8,2359862299642700,55.800396,0.396
64,12,56.7,2359863199596500,56.7003498,0.3498
65,11,57.6,2359864099593400,57.6003467,0.3467
66,11,58.5,2359864999643100,58.5003964,0.3964
67,12,59.4,2359865899665600,59.4004189,0.4189
68,11,60.3,2359866799648400,60.3004017,0.4017
69,11,61.2,2359867699609800,61.2003631,0.3631
70,11,62.1,2359868599579300,62.1003326,0.3326
71,11,63.0,2359869499704400,63.0004577,0.4577
72,12,63.9,2359870399661900,63.9004152,0.4152
73,11,64.8,2359871299592100,64.8003454,0.3454
74,11,65.7,2359872199703100,65.7004564,0.4564
75,12,66.6,2359873099711000,66.6004643,0.464301
76,11,67.5,2359873999684500,67.5004378,0.4378
77,11,68.4,2359874899563500,68.4003168,0.3168
78,11,69.3,2359875799839100,69.3005924,0.5924
79,11,70.2,2359876699635500,70.2003888,0.3888
80,11,71.1,2359877599640700,71.100394,0.394
81,12,72.0,2359878499610400,72.0003637,0.3637
82,11,72.9,2359879399570200,72.9003235,0.3235
83,11,73.8,2359880299613600,73.8003669,0.3669
84,11,74.7,2359881199632200,74.7003855,0.3855
85,11,75.6,2359882099588400,75.6003417,0.3417
86,11,76.5,2359882999604700,76.500358,0.358
87,11,77.4,2359883899571100,77.4003244,0.3244
88,12,78.3,2359884799665300,78.3004186,0.4186
89,11,79.2,2359885699627000,79.2003803,0.3803
90,11,80.1,2359886599659900,80.1004132,0.4132
91,11,81.0,2359887499701000,81.0004543,0.4543
92,11,81.9,2359888399605800,81.9003591,0.3591
93,12,82.8,2359889299639400,82.8003927,0.3927
94,11,83.7,2359890199745800,83.7004991,0.4991
95,11,84.6,2359891099652800,84.6004061,0.4061
96,11,85.5,2359891999663600,85.5004169,0.4169
97,12,86.4,2359892899601200,86.4003545,0.3545
98,11,87.3,2359893799612200,87.3003655,0.3655
99,11,88.2,2359894699755600,88.2005089,0.5089
100,11,89.1,2359895599685500,89.1004388,0.4388
101,11,90.0,2359896499711000,90.0004643,0.4643
102,11,90.9,2359897399591900,90.9003452,0.3452
103,11,91.8,2359898299566700,91.80032,0.32
104,12,92.7,2359899199609300,92.7003626,0.3626
105,11,93.6,2359900099677100,93.6004304,0.4304
106,11,94.5,2359900999633100,94.5003864,0.3864
107,11,95.4,2359901899605600,95.4003589,0.3589
108,11,96.3,2359902799576700,96.30033,0.33
109,11,97.2,2359903699583300,97.2003366,0.3366
110,12,98.1,2359904599611700,98.100365,0.365
111,11,99.0,2359905499679100,99.0004324,0.4324
112,11,99.9,2359906399633400,99.9003867,0.3867
113,11,100.8,2359907299602200,100.8003555,0.3555
114,11,101.7,2359908199634900,101.7003882,0.3882
115,11,102.6,2359909099611900,102.6003652,0.3652
116,12,103.5,2359909999655900,103.5004092,0.4092
117,11,104.4,2359910899679600,104.4004329,0.4329
118,11,105.3,2359911799602000,105.3003553,0.3553
119,11,106.2,2359912699628500,106.2003818,0.3818
120,11,107.1,2359913599699800,107.1004531,0.4531
121,11,108.0,2359914499610900,108.0003642,0.3642
122,12,108.9,2359915399612900,108.9003662,0.3662
123,11,109.8,2359916299746100,109.8004994,0.4994
124,11,110.7,2359917199647300,110.7004006,0.4006
125,11,111.6,2359918099670400,111.6004237,0.4237
126,11,112.5,2359918999596500,112.5003498,0.3498
127,11,113.4,2359919899581700,113.400335,0.335
128,11,114.3,2359920799771300,114.3005246,0.5246
129,12,115.2,2359921699713200,115.2004665,0.4665
130,11,116.1,2359922599644200,116.1003975,0.3975
131,11,117.0,2359923499560600,117.0003139,0.3139
132,12,117.9,2359924399600700,117.900354,0.354
133,11,118.8,2359925299653800,118.8004071,0.4071
134,11,119.7,2359926199652800,119.7004061,0.4061
135,11,120.6,2359927099707400,120.6004607,0.4607
136,12,121.5,2359927999702500,121.5004558,0.4558
137,11,122.4,2359928899664800,122.4004181,0.4181
138,11,123.3,2359929799579000,123.3003323,0.3323
139,12,124.2,2359930699616100,124.2003694,0.3694
140,11,125.1,2359931599556200,125.1003095,0.3095
141,11,126.0,2359932499614500,126.0003678,0.3678
142,11,126.9,2359933399587900,126.9003412,0.3412
143,11,127.8,2359934299712600,127.8004659,0.4659
144,11,128.7,2359935199610100,128.7003634,0.363401
145,12,129.6,2359936099616600,129.6003699,0.3699
146,11,130.5,2359936999566500,130.5003198,0.3198
147,11,131.4,2359937899657400,131.4004107,0.4107
148,11,132.3,2359938799698300,132.3004516,0.4516
149,12,133.2,2359939699573700,133.200327,0.327001
150,11,134.1,2359940599602500,134.1003558,0.3558
151,11,135.0,2359941499570600,135.0003239,0.3239
152,11,135.9,2359942399724000,135.9004773,0.4773
153,11,136.8,2359943299693800,136.8004471,0.4471
154,12,137.7,2359944199616700,137.70037,0.37
155,11,138.6,2359945099558600,138.6003119,0.3119
156,11,139.5,2359945999613900,139.5003672,0.3672
157,11,140.4,2359946899718000,140.4004713,0.4713
158,11,141.3,2359947799650800,141.3004041,0.4041
159,11,142.2,2359948699615400,142.2003687,0.3687
160,12,143.1,2359949599753600,143.1005069,0.5069
161,11,144.0,2359950499758400,144.0005117,0.5117
162,11,144.9,2359951399614700,144.900368,0.368
163,11,145.8,2359952299586000,145.8003393,0.3393
164,11,146.7,2359953199616100,146.7003694,0.3694
165,11,147.6,2359954099654300,147.6004076,0.4076
166,11,148.5,2359954999670300,148.5004236,0.4236
167,12,149.4,2359955899608200,149.4003615,0.3615
