trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,31,0.0,3222054429339700,0.000837,0.837
2,31,0.9,3222055328832700,0.90033,0.33
3,31,1.8,3222056228790700,1.800288,0.288
4,31,2.7,3222057128795600,2.7002929,0.2929
5,31,3.6,3222058028825700,3.600323,0.323
6,31,4.5,3222058928839100,4.5003364,0.3364
7,31,5.4,3222059828815900,5.4003132,0.3132
8,31,6.3,3222060728880000,6.3003773,0.3773
9,31,7.2,3222061628836300,7.2003336,0.3336
10,31,8.1,3222062528907400,8.1004047,0.4047
11,31,9.0,3222063428871300,9.0003686,0.3686
12,31,9.9,3222064328929400,9.9004267,0.4267
13,31,10.8,3222065228938000,10.8004353,0.4353
14,31,11.7,3222066128823300,11.7003206,0.3206
15,31,12.6,3222067028909800,12.6004071,0.4071
16,31,13.5,3222067928805300,13.5003026,0.3026
17,31,14.4,3222068828967400,14.4004647,0.4647
18,31,15.3,3222069728887900,15.3003852,0.3852
19,31,16.2,3222070628874400,16.2003717,0.3717
20,31,17.1,3222071528832400,17.1003297,0.3297
21,31,18.0,3222072428922700,18.00042,0.42
22,31,18.9,3222073328938500,18.9004358,0.4358
23,31,19.8,3222074228915500,19.8004128,0.4128
24,31,20.7,3222075128854500,20.7003518,0.3518
25,31,21.6,3222076028963500,21.6004608,0.4608
26,31,22.5,3222076929011500,22.5005088,0.5088
27,31,23.4,3222077828859100,23.4003564,0.3564
28,31,24.3,3222078728843100,24.3003404,0.3404
29,31,25.2,3222079628864700,25.200362,0.362
30,31,26.1,3222080528875000,26.1003723,0.3723
31,31,27.0,3222081428993900,27.0004912,0.4912
32,31,27.9,3222082328816100,27.9003134,0.3134
33,31,28.8,3222083228962200,28.8004595,0.4595
34,31,29.7,3222084128854800,29.7003521,0.3521
35,31,30.6,3222085028827200,30.6003245,0.3245
36,31,31.5,3222085928809000,31.5003063,0.3063
37,31,32.4,3222086828893100,32.4003904,0.3904
38,31,33.3,3222087728871500,33.3003688,0.368801
39,31,34.2,3222088628832700,34.20033,0.33
40,31,35.1,3222089528858200,35.1003555,0.3555
41,31,36.0,3222090428887600,36.0003849,0.3849
42,31,36.9,3222091328864400,36.9003617,0.3617
43,31,37.8,3222092228829300,37.8003266,0.3266
44,31,38.7,3222093128828900,38.7003262,0.3262
45,31,39.6,3222094028878100,39.6003754,0.3754
46,31,40.5,3222094928865400,40.5003627,0.3627
47,31,41.4,3222095828901900,41.4003992,0.3992
48,31,42.3,3222096728952800,42.3004501,0.4501
49,31,43.2,3222097628868100,43.2003654,0.3654
50,31,44.1,3222098529021100,44.1005184,0.5184
51,31,45.0,3222099428912600,45.0004099,0.4099
52,31,45.9,3222100328823200,45.9003205,0.3205
53,31,46.8,3222101228837100,46.8003344,0.3344
54,31,47.7,3222102129013500,47.7005108,0.5108
55,31,48.6,3222103028945900,48.6004432,0.4432
56,31,49.5,3222103928966000,49.5004633,0.4633
57,31,50.4,3222104828805900,50.4003032,0.3032
58,31,51.3,3222105728848100,51.3003454,0.3454
59,31,52.2,3222106628884300,52.2003816,0.3816
60,31,53.1,3222107528864400,53.1003617,0.3617
61,31,54.0,3222108428869900,54.0003672,0.3672
62,31,54.9,3222109328917600,54.9004149,0.4149
63,31,55.8,3222110228854000,55.8003513,0.3513
64,31,56.7,3222111128881700,56.700379,0.379
65,31,57.6,3222112028811500,57.6003088,0.3088
66,31,58.5,3222112928862400,58.5003597,0.3597
67,31,59.4,3222113828960400,59.4004577,0.4577
68,31,60.3,3222114728892200,60.3003895,0.3895
69,31,61.2,3222115628914700,61.200412,0.412
70,31,62.1,3222116528915000,62.1004123,0.4123
71,31,63.0,3222117428837700,63.000335,0.335
72,31,63.9,3222118328925800,63.9004231,0.4231
73,31,64.8,3222119228959200,64.8004565,0.4565
74,31,65.7,3222120128904800,65.7004021,0.4021
75,31,66.6,3222121028834100,66.6003314,0.331401
76,31,67.5,3222121928872500,67.5003698,0.3698
77,31,68.4,3222122828843700,68.400341,0.341
78,31,69.3,3222123729007100,69.3005044,0.5044
79,31,70.2,3222124628862200,70.2003595,0.3595
80,31,71.1,3222125528961600,71.1004589,0.4589
81,31,72.0,3222126428843200,72.0003405,0.3405
82,31,72.9,3222127328825100,72.9003224,0.3224
83,31,73.8,3222128228893000,73.8003903,0.3903
84,31,74.7,3222129128883700,74.700381,0.381
85,31,75.6,3222130028928100,75.6004254,0.4254
86,31,76.5,3222130928873900,76.5003712,0.3712
87,31,77.4,3222131828916200,77.4004135,0.4135
88,31,78.3,3222132728870000,78.3003673,0.3673
89,31,79.2,3222133628866100,79.2003634,0.3634
90,31,80.1,3222134528878600,80.1003759,0.3759
91,31,81.0,3222135428841300,81.0003386,0.3386
92,31,81.9,3222136328865600,81.9003629,0.3629
93,31,82.8,3222137228934800,82.8004321,0.4321
94,31,83.7,3222138128867200,83.7003645,0.3645
95,31,84.6,3222139028937400,84.6004347,0.4347
96,31,85.5,3222139928933100,85.5004304,0.4304
97,31,86.4,3222140828864400,86.4003617,0.3617
98,31,87.3,3222141728822000,87.3003193,0.3193
99,31,88.2,3222142628836800,88.2003341,0.3341
100,31,89.1,3222143528858900,89.1003562,0.3562
101,31,90.0,3222144428825100,90.0003224,0.3224
102,31,90.9,3222145328904400,90.9004017,0.4017
103,31,91.8,3222146228857700,91.800355,0.355
104,31,92.7,3222147129030200,92.7005275,0.5275
105,31,93.6,3222148029014400,93.6005117,0.5117
106,31,94.5,3222148928958700,94.500456,0.456
107,31,95.4,3222149828871200,95.4003685,0.3685
108,31,96.3,3222150728909400,96.3004067,0.4067
109,31,97.2,3222151628926200,97.2004235,0.4235
110,31,98.1,3222152528873700,98.100371,0.371
111,31,99.0,3222153428876900,99.0003742,0.3742
112,31,99.9,3222154328989700,99.900487,0.487
113,31,100.8,3222155228916100,100.8004134,0.4134
114,31,101.7,3222156128905400,101.7004027,0.4027
115,31,102.6,3222157028968400,102.6004657,0.4657
116,31,103.5,3222157928890100,103.5003874,0.3874
117,31,104.4,3222158828979300,104.4004766,0.4766
118,31,105.3,3222159728915700,105.300413,0.413
119,31,106.2,3222160628863500,106.2003608,0.3608
120,31,107.1,3222161528954800,107.1004521,0.4521
121,31,108.0,3222162428852900,108.0003502,0.3502
122,31,108.9,3222163328919200,108.9004165,0.4165
123,31,109.8,3222164228965700,109.800463,0.463
124,31,110.7,3222165128863100,110.7003604,0.3604
125,31,111.6,3222166028860100,111.6003574,0.3574
126,31,112.5,3222166928814200,112.5003115,0.3115
127,31,113.4,3222167828990400,113.4004877,0.4877
128,31,114.3,3222168729033400,114.3005307,0.5307
129,31,115.2,3222169628850400,115.2003477,0.3477
130,31,116.1,3222170528901700,116.100399,0.399
131,31,117.0,3222171428959600,117.0004569,0.4569
132,31,117.9,3222172328830100,117.9003274,0.3274
133,31,118.8,3222173228843000,118.8003403,0.3403
134,31,119.7,3222174128829000,119.7003263,0.3263
135,31,120.6,3222175028913700,120.600411,0.411
136,31,121.5,3222175929017300,121.5005146,0.5146
137,31,122.4,3222176828864000,122.4003613,0.3613
138,31,123.3,3222177728883300,123.3003806,0.3806
139,31,124.2,3222178628965000,124.2004623,0.4623
140,31,125.1,3222179528999600,125.1004969,0.4969
141,31,126.0,3222180428948700,126.000446,0.446
142,31,126.9,3222181328800000,126.9002973,0.2973
143,31,127.8,3222182229012800,127.8005101,0.5101
144,31,128.7,3222183128903400,128.7004007,0.400701
145,31,129.6,3222184028987700,129.600485,0.485
146,31,130.5,3222184928848100,130.5003454,0.3454
147,31,131.4,3222185828831100,131.4003284,0.3284
148,31,132.3,3222186728825900,132.3003232,0.3232
149,31,133.2,3222187628823700,133.200321,0.321001
150,31,134.1,3222188528920500,134.1004178,0.4178
151,31,135.0,3222189429020700,135.000518,0.518
152,31,135.9,3222190328911600,135.9004089,0.4089
153,31,136.8,3222191228842300,136.8003396,0.3396
154,31,137.7,3222192128878300,137.7003756,0.3756
155,31,138.6,3222193028829800,138.6003271,0.3271
156,31,139.5,3222193928877500,139.5003748,0.3748
157,31,140.4,3222194828954300,140.4004516,0.4516
158,31,141.3,3222195728819800,141.3003171,0.3171
159,31,142.2,3222196628880500,142.2003778,0.3778
160,31,143.1,3222197528962900,143.1004602,0.4602
161,31,144.0,3222198428915600,144.0004129,0.4129
162,31,144.9,3222199328832000,144.9003293,0.3293
163,31,145.8,3222200228826200,145.8003235,0.3235
164,31,146.7,3222201128856100,146.7003534,0.3534
165,31,147.6,3222202028827200,147.6003245,0.3245
166,31,148.5,3222202928824500,148.5003218,0.3218
167,31,149.4,3222203828855000,149.4003523,0.3523
168,31,150.3,3222204728967500,150.3004648,0.4648
169,31,151.2,3222205628963400,151.2004607,0.4607
170,31,152.1,3222206528836700,152.100334,0.334
171,31,153.0,3222207428889200,153.0003865,0.3865
172,31,153.9,3222208328854500,153.9003518,0.3518
173,31,154.8,3222209228824100,154.8003214,0.3214
174,31,155.7,3222210128898200,155.7003955,0.3955
175,31,156.6,3222211028893600,156.6003909,0.3909
176,31,157.5,3222211928860200,157.5003575,0.3575
177,31,158.4,3222212828867000,158.4003643,0.3643
178,31,159.3,3222213728860000,159.3003573,0.3573
179,31,160.2,3222214628894600,160.2003919,0.3919
180,31,161.1,3222215528841200,161.1003385,0.3385
181,31,162.0,3222216428887800,162.0003851,0.3851
182,31,162.9,3222217328864100,162.9003614,0.3614
183,31,163.8,3222218228889300,163.8003866,0.3866
184,31,164.7,3222219128891000,164.7003883,0.3883
185,31,165.6,3222220029007200,165.6005045,0.5045
186,31,166.5,3222220928944800,166.5004421,0.4421
187,31,167.4,3222221828857700,167.400355,0.355
188,31,168.3,3222222728868400,168.3003657,0.3657
189,31,169.2,3222223628864100,169.2003614,0.3614
190,31,170.1,3222224528862800,170.1003601,0.3601
191,31,171.0,3222225428934100,171.0004314,0.4314
