trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,11,0.0,252883325838600,0.0010794,1.0794
2,11,0.9,252884225191200,0.900432,0.432
3,11,1.8,252885125241800,1.8004826,0.4826
4,11,2.7,252886025198700,2.7004395,0.4395
5,11,3.6,252886925244900,3.6004857,0.4857
6,11,4.5,252887825181700,4.5004225,0.4225
7,11,5.4,252888725182700,5.4004235,0.4235
8,11,6.3,252889625048600,6.3002894,0.2894
9,11,7.2,252890525179700,7.2004205,0.4205
10,11,8.1,252891425205900,8.1004467,0.4467
11,11,9.0,252892325177200,9.000418,0.418
12,11,9.9,252893225152800,9.9003936,0.3936
13,11,10.8,252894125353800,10.8005946,0.5946
14,11,11.7,252895025193100,11.7004339,0.4339
15,11,12.6,252895925225900,12.6004667,0.4667
16,11,13.5,252896825196600,13.5004374,0.4374
17,11,14.4,252897725185100,14.4004259,0.4259
18,11,15.3,252898625286400,15.3005272,0.5272
19,12,16.2,252899525220100,16.2004609,0.4609
20,11,17.1,252900425225800,17.1004666,0.4666
21,11,18.0,252901325301300,18.0005421,0.5421
22,12,18.9,252902225214100,18.9004549,0.4549
23,11,19.8,252903125116900,19.8003577,0.3577
24,11,20.7,252904025277200,20.700518,0.518
25,11,21.6,252904925242400,21.6004832,0.4832
26,11,22.5,252905825252700,22.5004935,0.4935
27,12,23.4,252906725170500,23.4004113,0.4113
28,11,24.3,252907625314200,24.300555,0.555
29,11,25.2,252908525235500,25.2004763,0.4763
30,11,26.1,252909425071400,26.1003122,0.3122
31,11,27.0,252910325245400,27.0004862,0.4862
32,11,27.9,252911225148300,27.9003891,0.3891
33,11,28.8,252912125275000,28.8005158,0.5158
34,12,29.7,252913025222700,29.7004635,0.4635
35,11,30.6,252913925109100,30.6003499,0.3499
36,11,31.5,252914825333600,31.5005744,0.5744
37,12,32.4,252915725203400,32.4004442,0.4442
38,11,33.3,252916625238200,33.300479,0.479001
39,11,34.2,252917525093100,34.2003339,0.3339
40,11,35.1,252918425276700,35.1005175,0.5175
41,12,36.0,252919325229600,36.0004704,0.4704
42,11,36.9,252920225240800,36.9004816,0.4816
