trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,21,0.0,2445341055315700,0.0007264,0.7264
2,21,0.9,2445341954967300,0.900378,0.378
3,21,1.8,2445342854923800,1.8003345,0.3345
4,21,2.7,2445343754985200,2.7003959,0.3959
5,21,3.6,2445344654962100,3.6003728,0.3728
6,21,4.5,2445345555005800,4.5004165,0.4165
7,21,5.4,2445346454911200,5.4003219,0.3219
8,21,6.3,2445347354992700,6.3004034,0.4034
9,21,7.2,2445348254950700,7.2003614,0.3614
10,21,8.1,2445349154955300,8.100366,0.366
11,21,9.0,2445350054961800,9.0003725,0.3725
12,21,9.9,2445350954908600,9.9003193,0.3193
13,21,10.8,2445351854945600,10.8003563,0.3563
14,21,11.7,2445352755052900,11.7004636,0.4636
15,21,12.6,2445353655044400,12.6004551,0.4551
16,21,13.5,2445354554978900,13.5003896,0.3896
17,21,14.4,2445355455044100,14.4004548,0.4548
18,21,15.3,2445356354945300,15.300356,0.356
19,22,16.2,2445357255042200,16.2004529,0.4529
20,21,17.1,2445358154885900,17.1002966,0.2966
21,21,18.0,2445359055045500,18.0004562,0.4562
22,22,18.9,2445359954973200,18.9003839,0.3839
23,21,19.8,2445360855026100,19.8004368,0.4368
24,21,20.7,2445361754913100,20.7003238,0.3238
25,21,21.6,2445362655099200,21.6005099,0.5099
26,21,22.5,2445363555020700,22.5004314,0.4314
27,22,23.4,2445364454921700,23.4003324,0.3324
28,21,24.3,2445365354995600,24.3004063,0.4063
29,21,25.2,2445366254924900,25.2003356,0.3356
30,21,26.1,2445367154992800,26.1004035,0.4035
31,21,27.0,2445368054933800,27.0003445,0.3445
32,21,27.9,2445368954996800,27.9004075,0.4075
33,21,28.8,2445369854961000,28.8003717,0.3717
34,22,29.7,2445370754996500,29.7004072,0.4072
35,21,30.6,2445371654911200,30.6003219,0.3219
36,21,31.5,2445372554985800,31.5003965,0.3965
37,22,32.4,2445373454985600,32.4003963,0.3963
38,21,33.3,2445374354916300,33.300327,0.327001
39,21,34.2,2445375255039800,34.2004505,0.4505
40,21,35.1,2445376155003000,35.1004137,0.4137
41,22,36.0,2445377054929800,36.0003405,0.3405
42,21,36.9,2445377955044700,36.9004554,0.4554
43,21,37.8,2445378855009700,37.8004204,0.4204
44,22,38.7,2445379755093000,38.7005037,0.5037
45,21,39.6,2445380654927100,39.6003378,0.3378
46,21,40.5,2445381555086500,40.5004972,0.4972
47,21,41.4,2445382455038200,41.4004489,0.4489
48,21,42.3,2445383355040700,42.3004514,0.4514
49,21,43.2,2445384254890700,43.2003014,0.3014
50,22,44.1,2445385155097400,44.1005081,0.5081
51,21,45.0,2445386055042000,45.0004527,0.4527
52,21,45.9,2445386954915500,45.9003262,0.3262
53,21,46.8,2445387854894300,46.800305,0.305
54,22,47.7,2445388754960500,47.7003712,0.3712
55,21,48.6,2445389654946800,48.6003575,0.3575
56,21,49.5,2445390554952600,49.5003633,0.3633
57,21,50.4,2445391454886800,50.4002975,0.2975
58,21,51.3,2445392354920400,51.3003311,0.3311
59,21,52.2,2445393255020700,52.2004314,0.4314
60,22,53.1,2445394154939300,53.10035,0.35
61,21,54.0,2445395054910800,54.0003215,0.3215
62,21,54.9,2445395954962300,54.900373,0.373
63,21,55.8,2445396855045300,55.800456,0.456
64,22,56.7,2445397754938300,56.700349,0.349
65,21,57.6,2445398654920800,57.6003315,0.3315
66,21,58.5,2445399554962700,58.5003734,0.3734
67,22,59.4,2445400454997200,59.4004079,0.4079
68,21,60.3,2445401354987700,60.3003984,0.3984
69,21,61.2,2445402254920200,61.2003309,0.3309
70,21,62.1,2445403154976300,62.100387,0.387
71,21,63.0,2445404054993700,63.0004044,0.4044
72,22,63.9,2445404954953600,63.9003643,0.3643
73,21,64.8,2445405854941900,64.8003526,0.3526
74,21,65.7,2445406754901800,65.7003125,0.3125
75,22,66.6,2445407654914200,66.6003249,0.324901
76,21,67.5,2445408554960600,67.5003713,0.3713
77,21,68.4,2445409454994200,68.4004049,0.4049
78,21,69.3,2445410354907700,69.3003184,0.3184
79,21,70.2,2445411255041300,70.200452,0.452
80,21,71.1,2445412154950600,71.1003613,0.3613
81,22,72.0,2445413054920500,72.0003312,0.3312
82,21,72.9,2445413954991100,72.9004018,0.4018
83,21,73.8,2445414854950300,73.800361,0.361
84,21,74.7,2445415754924400,74.7003351,0.3351
85,21,75.6,2445416655014000,75.6004247,0.4247
86,21,76.5,2445417554948800,76.5003595,0.3595
87,21,77.4,2445418454918000,77.4003287,0.3287
88,22,78.3,2445419355017300,78.300428,0.428
89,21,79.2,2445420254990400,79.2004011,0.4011
90,21,80.1,2445421154906800,80.1003175,0.3175
91,21,81.0,2445422054912100,81.0003228,0.3228
92,21,81.9,2445422954910100,81.9003208,0.3208
93,22,82.8,2445423854946500,82.8003572,0.3572
94,21,83.7,2445424755059200,83.7004699,0.4699
95,21,84.6,2445425655009100,84.6004198,0.4198
96,21,85.5,2445426555037600,85.5004483,0.4483
97,22,86.4,2445427454983100,86.4003938,0.3938
98,21,87.3,2445428354943900,87.3003546,0.3546
99,21,88.2,2445429254924500,88.2003352,0.3352
100,21,89.1,2445430155043300,89.100454,0.454
101,21,90.0,2445431054957100,90.0003678,0.3678
102,21,90.9,2445431954969900,90.9003806,0.3806
103,21,91.8,2445432854908000,91.8003187,0.3187
104,22,92.7,2445433755039800,92.7004505,0.4505
105,21,93.6,2445434655032100,93.6004428,0.4428
106,21,94.5,2445435554963900,94.5003746,0.3746
107,21,95.4,2445436454939800,95.4003505,0.3505
108,21,96.3,2445437355108200,96.3005189,0.5189
109,21,97.2,2445438254930500,97.2003412,0.3412
110,22,98.1,2445439154910000,98.1003207,0.3207
111,21,99.0,2445440054934300,99.000345,0.345
112,21,99.9,2445440955004200,99.9004149,0.4149
113,21,100.8,2445441854946600,100.8003573,0.3573
114,21,101.7,2445442754998100,101.7004088,0.4088
115,21,102.6,2445443654902500,102.6003132,0.3132
116,22,103.5,2445444554920700,103.5003314,0.3314
117,21,104.4,2445445455028300,104.400439,0.439
118,21,105.3,2445446354991100,105.3004018,0.4018
