trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,21,0.0,3932801148744300,0.00057,0.57
2,21,0.9,3932802048552300,0.900378,0.378
3,21,1.8,3932802948550900,1.8003766,0.3766
4,21,2.7,3932803848699900,2.7005256,0.5256
5,21,3.6,3932804748531600,3.6003573,0.3573
6,21,4.5,3932805648551800,4.5003775,0.3775
7,21,5.4,3932806548566400,5.4003921,0.3921
8,21,6.3,3932807448537200,6.3003629,0.3629
9,21,7.2,3932808348591900,7.2004176,0.4176
10,21,8.1,3932809248712700,8.1005384,0.5384
11,21,9.0,3932810148543200,9.0003689,0.3689
12,21,9.9,3932811048557700,9.9003834,0.3834
13,21,10.8,3932811948671000,10.8004967,0.4967
14,21,11.7,3932812848640600,11.7004663,0.4663
15,21,12.6,3932813748501900,12.6003276,0.3276
16,21,13.5,3932814648528700,13.5003544,0.3544
17,21,14.4,3932815548596500,14.4004222,0.4222
18,21,15.3,3932816448672500,15.3004982,0.4982
19,22,16.2,3932817348646000,16.2004717,0.4717
20,21,17.1,3932818248518700,17.1003444,0.3444
21,21,18.0,3932819148520700,18.0003464,0.3464
22,22,18.9,3932820048489900,18.9003156,0.3156
23,21,19.8,3932820948511000,19.8003367,0.3367
24,21,20.7,3932821848545300,20.700371,0.371
25,21,21.6,3932822748632100,21.6004578,0.4578
26,21,22.5,3932823648556200,22.5003819,0.3819
27,22,23.4,3932824548522800,23.4003485,0.3485
28,21,24.3,3932825448529600,24.3003553,0.3553
29,21,25.2,3932826348553600,25.2003793,0.3793
30,21,26.1,3932827248507900,26.1003336,0.3336
31,21,27.0,3932828148534000,27.0003597,0.3597
32,21,27.9,3932829048581400,27.9004071,0.4071
33,21,28.8,3932829948522300,28.800348,0.348
34,22,29.7,3932830848496200,29.7003219,0.3219
35,21,30.6,3932831748559600,30.6003853,0.3853
36,21,31.5,3932832648557100,31.5003828,0.3828
37,22,32.4,3932833548509100,32.4003348,0.3348
38,21,33.3,3932834448587700,33.3004134,0.413401
39,21,34.2,3932835348512200,34.2003379,0.3379
40,21,35.1,3932836248568600,35.1003943,0.3943
41,22,36.0,3932837148525800,36.0003515,0.3515
42,21,36.9,3932838048573800,36.9003995,0.3995
43,21,37.8,3932838948534300,37.80036,0.36
44,22,38.7,3932839848716300,38.700542,0.542
45,21,39.6,3932840748610600,39.6004363,0.4363
46,21,40.5,3932841648537400,40.5003631,0.3631
47,21,41.4,3932842548637400,41.4004631,0.4631
48,21,42.3,3932843448529600,42.3003553,0.3553
49,21,43.2,3932844348626700,43.2004524,0.4524
50,22,44.1,3932845248515100,44.1003408,0.3408
51,21,45.0,3932846148535400,45.0003611,0.3611
52,21,45.9,3932847048591100,45.9004168,0.4168
53,21,46.8,3932847948546400,46.8003721,0.3721
54,22,47.7,3932848848579300,47.700405,0.405
55,21,48.6,3932849748537300,48.600363,0.363
56,21,49.5,3932850648690900,49.5005166,0.5166
57,21,50.4,3932851548601100,50.4004268,0.4268
58,21,51.3,3932852448635800,51.3004615,0.4615
59,21,52.2,3932853348712700,52.2005384,0.5384
60,22,53.1,3932854248598300,53.100424,0.424
61,21,54.0,3932855148549900,54.0003756,0.3756
62,21,54.9,3932856048568200,54.9003939,0.3939
63,21,55.8,3932856948588800,55.8004145,0.4145
64,22,56.7,3932857848600700,56.7004264,0.4264
