trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,31,0.0,3947602372675300,0.0006193,0.6193
2,31,0.9,3947603272376500,0.9003205,0.3205
3,31,1.8,3947604172395200,1.8003392,0.3392
4,31,2.7,3947605072466200,2.7004102,0.4102
5,31,3.6,3947605972432400,3.6003764,0.3764
6,31,4.5,3947606872378900,4.5003229,0.3229
7,31,5.4,3947607772385200,5.4003292,0.3292
8,31,6.3,3947608672495300,6.3004393,0.4393
9,31,7.2,3947609572454400,7.2003984,0.3984
10,31,8.1,3947610472554000,8.100498,0.498
11,31,9.0,3947611372508000,9.000452,0.452
12,31,9.9,3947612272385800,9.9003298,0.3298
13,31,10.8,3947613172495800,10.8004398,0.4398
14,31,11.7,3947614072387800,11.7003318,0.3318
15,31,12.6,3947614972458800,12.6004028,0.4028
16,31,13.5,3947615872487900,13.5004319,0.4319
17,31,14.4,3947616772404200,14.4003482,0.3482
18,31,15.3,3947617672365700,15.3003097,0.3097
19,31,16.2,3947618572599900,16.2005439,0.5439
20,31,17.1,3947619472486300,17.1004303,0.4303
21,31,18.0,3947620372401600,18.0003456,0.3456
22,31,18.9,3947621272414200,18.9003582,0.3582
23,31,19.8,3947622172815400,19.8007594,0.7594
24,31,20.7,3947623072497300,20.7004413,0.4413
25,31,21.6,3947623972535100,21.6004791,0.4791
26,31,22.5,3947624872463900,22.5004079,0.4079
27,31,23.4,3947625772996600,23.4009406,0.9406
28,31,24.3,3947626672559900,24.3005039,0.5039
29,31,25.2,3947627572461700,25.2004057,0.4057
30,31,26.1,3947628472507800,26.1004518,0.4518
31,31,27.0,3947629372591800,27.0005358,0.5358
32,31,27.9,3947630272938900,27.9008829,0.8829
33,31,28.8,3947631172387400,28.8003314,0.3314
34,31,29.7,3947632072857000,29.700801,0.801
35,31,30.6,3947632972918700,30.6008627,0.8627
36,31,31.5,3947633872461600,31.5004056,0.4056
37,31,32.4,3947634772894400,32.4008384,0.8384
38,31,33.3,3947635672809400,33.3007534,0.753401
39,31,34.2,3947636572418100,34.2003621,0.3621
40,31,35.1,3947637472360800,35.1003048,0.3048
41,31,36.0,3947638372649300,36.0005933,0.5933
