trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,11,0.0,2881357016828700,0.0008429,0.8429
2,11,0.9,2881357916305500,0.9003197,0.3197
3,11,1.8,2881358816306200,1.8003204,0.3204
4,11,2.7,2881359716348700,2.7003629,0.3629
5,11,3.6,2881360616345000,3.6003592,0.3592
6,11,4.5,2881361516318900,4.5003331,0.3331
7,11,5.4,2881362416395100,5.4004093,0.4093
8,11,6.3,2881363316357600,6.3003718,0.3718
9,11,7.2,2881364216351000,7.2003652,0.3652
10,11,8.1,2881365116409400,8.1004236,0.4236
11,11,9.0,2881366016395000,9.0004092,0.4092
12,11,9.9,2881366916342100,9.9003563,0.3563
13,11,10.8,2881367816314000,10.8003282,0.3282
14,11,11.7,2881368716340100,11.7003543,0.3543
15,11,12.6,2881369616343300,12.6003575,0.3575
16,11,13.5,2881370516339200,13.5003534,0.3534
17,11,14.4,2881371416409800,14.400424,0.424
18,11,15.3,2881372316325500,15.3003397,0.3397
19,12,16.2,2881373216303800,16.200318,0.318
20,11,17.1,2881374116344100,17.1003583,0.3583
21,11,18.0,2881375016317100,18.0003313,0.3313
22,12,18.9,2881375916380300,18.9003945,0.3945
23,11,19.8,2881376816428100,19.8004423,0.4423
24,11,20.7,2881377716525300,20.7005395,0.5395
25,11,21.6,2881378616388200,21.6004024,0.4024
26,11,22.5,2881379516317900,22.5003321,0.3321
27,12,23.4,2881380416359500,23.4003737,0.3737
28,11,24.3,2881381316306300,24.3003205,0.3205
29,11,25.2,2881382216307000,25.2003212,0.3212
30,11,26.1,2881383116301500,26.1003157,0.3157
31,11,27.0,2881384016385100,27.0003993,0.3993
32,11,27.9,2881384916399000,27.9004132,0.4132
33,11,28.8,2881385816440500,28.8004547,0.4547
34,12,29.7,2881386716283400,29.7002976,0.2976
35,11,30.6,2881387616295100,30.6003093,0.3093
36,11,31.5,2881388516477300,31.5004915,0.4915
37,12,32.4,2881389416329700,32.4003439,0.3439
38,11,33.3,2881390316296200,33.3003104,0.310401
39,11,34.2,2881391216312000,34.2003262,0.3262
40,11,35.1,2881392116362900,35.1003771,0.3771
41,12,36.0,2881393016370000,36.0003842,0.3842
42,11,36.9,2881393916377000,36.9003912,0.3912
43,11,37.8,2881394816310300,37.8003245,0.3245
44,12,38.7,2881395716499700,38.7005139,0.5139
45,11,39.6,2881396616397300,39.6004115,0.4115
46,11,40.5,2881397516328900,40.5003431,0.3431
47,11,41.4,2881398416396400,41.4004106,0.4106
48,11,42.3,2881399316501300,42.3005155,0.5155
49,11,43.2,2881400216334200,43.2003484,0.3484
50,12,44.1,2881401116337900,44.1003521,0.3521
51,11,45.0,2881402016354200,45.0003684,0.3684
52,11,45.9,2881402916352100,45.9003663,0.3663
53,11,46.8,2881403816363700,46.8003779,0.3779
54,12,47.7,2881404716357900,47.7003721,0.3721
55,11,48.6,2881405616303800,48.600318,0.318
56,11,49.5,2881406516420600,49.5004348,0.4348
57,11,50.4,2881407416344300,50.4003585,0.3585
58,11,51.3,2881408316388400,51.3004026,0.4026
59,11,52.2,2881409216376400,52.2003906,0.3906
60,12,53.1,2881410116428000,53.1004422,0.4422
61,11,54.0,2881411016364200,54.0003784,0.3784
62,11,54.9,2881411916398500,54.9004127,0.4127
63,11,55.8,2881412816312900,55.8003271,0.3271
64,12,56.7,2881413716304900,56.7003191,0.3191
65,11,57.6,2881414616305400,57.6003196,0.3196
66,11,58.5,2881415516425200,58.5004394,0.4394
67,12,59.4,2881416416364600,59.4003788,0.3788
68,11,60.3,2881417316356600,60.3003708,0.3708
69,11,61.2,2881418216311900,61.2003261,0.3261
70,11,62.1,2881419116406100,62.1004203,0.4203
71,11,63.0,2881420016319900,63.0003341,0.3341
72,12,63.9,2881420916399100,63.9004133,0.4133
73,11,64.8,2881421816408800,64.800423,0.423
74,11,65.7,2881422716382300,65.7003965,0.3965
75,12,66.6,2881423616360600,66.6003748,0.374801
76,11,67.5,2881424516438100,67.5004523,0.4523
77,11,68.4,2881425416390200,68.4004044,0.4044
78,11,69.3,2881426316326800,69.300341,0.341
79,11,70.2,2881427216310100,70.2003243,0.3243
80,11,71.1,2881428116369100,71.1003833,0.3833
81,12,72.0,2881429016449600,72.0004638,0.4638
82,11,72.9,2881429916395700,72.9004099,0.4099
83,11,73.8,2881430816398000,73.8004122,0.4122
84,11,74.7,2881431716466900,74.7004811,0.4811
85,11,75.6,2881432616385300,75.6003995,0.3995
