trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,31,0.0,2522867278223500,0.0006126,0.6126
2,31,0.9,2522868178195100,0.9005842,0.5842
3,31,1.8,2522869078100600,1.8004897,0.4897
4,31,2.7,2522869978565500,2.7009546,0.9546
5,31,3.6,2522870878019800,3.6004089,0.4089
6,31,4.5,2522871778045100,4.5004342,0.4342
7,31,5.4,2522872678283700,5.4006728,0.6728
8,31,6.3,2522873578091400,6.3004805,0.4805
9,31,7.2,2522874478223900,7.200613,0.613
10,31,8.1,2522875378062100,8.1004512,0.4512
11,31,9.0,2522876278053600,9.0004427,0.4427
12,31,9.9,2522877178018500,9.9004076,0.4076
13,31,10.8,2522878078094400,10.8004835,0.4835
14,31,11.7,2522878978019100,11.7004082,0.4082
15,31,12.6,2522879878326900,12.600716,0.716
16,31,13.5,2522880777981200,13.5003703,0.3703
17,31,14.4,2522881678016000,14.4004051,0.4051
18,31,15.3,2522882578073600,15.3004627,0.4627
19,31,16.2,2522883478233300,16.2006224,0.6224
20,31,17.1,2522884378057100,17.1004462,0.4462
21,31,18.0,2522885278042400,18.0004315,0.4315
22,31,18.9,2522886178182400,18.9005715,0.5715
23,31,19.8,2522887078076600,19.8004657,0.4657
24,31,20.7,2522887978291000,20.7006801,0.6801
25,31,21.6,2522888878173400,21.6005625,0.5625
26,31,22.5,2522889778189200,22.5005783,0.5783
27,31,23.4,2522890678163200,23.4005523,0.5523
28,31,24.3,2522891578287900,24.300677,0.677
29,31,25.2,2522892478580600,25.2009697,0.9697
30,31,26.1,2522893378546100,26.1009352,0.9352
31,31,27.0,2522894278537300,27.0009264,0.9264
32,31,27.9,2522895178347500,27.9007366,0.7366
33,31,28.8,2522896078277700,28.8006668,0.6668
34,31,29.7,2522896978324200,29.7007133,0.7133
35,31,30.6,2522897878254400,30.6006435,0.6435
36,31,31.5,2522898778537000,31.5009261,0.9261
37,31,32.4,2522899678123500,32.4005126,0.5126
38,31,33.3,2522900578613100,33.3010022,1.002201
39,31,34.2,2522901478548100,34.2009372,0.9372
