trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,31,0.0,2880040033745500,0.0007977,0.7977
2,31,0.9,2880040933435900,0.9004881,0.4881
3,31,1.8,2880041833277200,1.8003294,0.3294
4,31,2.7,2880042733249800,2.700302,0.302
5,31,3.6,2880043633263200,3.6003154,0.3154
6,31,4.5,2880044533476000,4.5005282,0.5282
7,31,5.4,2880045433354300,5.4004065,0.4065
8,31,6.3,2880046333385500,6.3004377,0.4377
9,31,7.2,2880047233385700,7.2004379,0.4379
10,31,8.1,2880048133504600,8.1005568,0.5568
11,31,9.0,2880049033331200,9.0003834,0.3834
12,31,9.9,2880049933339800,9.900392,0.392
13,31,10.8,2880050833315500,10.8003677,0.3677
14,31,11.7,2880051733319400,11.7003716,0.3716
15,31,12.6,2880052633297400,12.6003496,0.3496
16,31,13.5,2880053533263700,13.5003159,0.3159
17,31,14.4,2880054433269900,14.4003221,0.3221
18,31,15.3,2880055333395600,15.3004478,0.4478
19,31,16.2,2880056233305400,16.2003576,0.3576
20,31,17.1,2880057133559300,17.1006115,0.6115
21,31,18.0,2880058033305700,18.0003579,0.3579
22,31,18.9,2880058933556400,18.9006086,0.6086
23,31,19.8,2880059833540900,19.8005931,0.5931
24,31,20.7,2880060733542800,20.700595,0.595
25,31,21.6,2880061633312000,21.6003642,0.3642
26,31,22.5,2880062533373000,22.5004252,0.4252
27,31,23.4,2880063433282500,23.4003347,0.3347
28,31,24.3,2880064333532700,24.3005849,0.5849
29,31,25.2,2880065233301800,25.200354,0.354
30,31,26.1,2880066133328100,26.1003803,0.3803
31,31,27.0,2880067033243500,27.0002957,0.2957
32,31,27.9,2880067933278700,27.9003309,0.3309
33,31,28.8,2880068833300400,28.8003526,0.3526
34,31,29.7,2880069733348100,29.7004003,0.4003
35,31,30.6,2880070633293700,30.6003459,0.3459
36,31,31.5,2880071533390500,31.5004427,0.4427
37,31,32.4,2880072433392100,32.4004443,0.4443
38,31,33.3,2880073333328100,33.3003803,0.380301
39,31,34.2,2880074233311600,34.2003638,0.3638
40,31,35.1,2880075133321300,35.1003735,0.3735
41,31,36.0,2880076033311700,36.0003639,0.3639
42,31,36.9,2880076933449100,36.9005013,0.5013
43,31,37.8,2880077833313300,37.8003655,0.3655
44,31,38.7,2880078733462200,38.7005144,0.5144
45,31,39.6,2880079633401300,39.6004535,0.4535
46,31,40.5,2880080533359600,40.5004118,0.4118
47,31,41.4,2880081433549600,41.4006018,0.6018
48,31,42.3,2880082333460600,42.3005128,0.5128
49,31,43.2,2880083233454600,43.2005068,0.5068
50,31,44.1,2880084133458500,44.1005107,0.5107
51,31,45.0,2880085033631800,45.000684,0.684
52,31,45.9,2880085933505200,45.9005574,0.5574
53,31,46.8,2880086833365400,46.8004176,0.4176
54,31,47.7,2880087733486000,47.7005382,0.5382
55,31,48.6,2880088633638800,48.600691,0.691
56,31,49.5,2880089533666300,49.5007185,0.7185
57,31,50.4,2880090433301600,50.4003538,0.3538
58,31,51.3,2880091333267500,51.3003197,0.3197
59,31,52.2,2880092233570400,52.2006226,0.6226
60,31,53.1,2880093133395600,53.1004478,0.4478
61,31,54.0,2880094033309200,54.0003614,0.3614
62,31,54.9,2880094933323000,54.9003752,0.3752
63,31,55.8,2880095833533300,55.8005855,0.5855
64,31,56.7,2880096733390500,56.7004427,0.4427
65,31,57.6,2880097633355900,57.6004081,0.4081
66,31,58.5,2880098533283600,58.5003358,0.3358
67,31,59.4,2880099433328400,59.4003806,0.3806
68,31,60.3,2880100333317100,60.3003693,0.3693
69,31,61.2,2880101233365700,61.2004179,0.4179
70,31,62.1,2880102133298600,62.1003508,0.3508
71,31,63.0,2880103033276000,63.0003282,0.3282
72,31,63.9,2880103933413900,63.9004661,0.4661
73,31,64.8,2880104833417700,64.8004699,0.4699
74,31,65.7,2880105733393000,65.7004452,0.4452
75,31,66.6,2880106633300100,66.6003523,0.352301
76,31,67.5,2880107533569900,67.5006221,0.6221
77,31,68.4,2880108433354100,68.4004063,0.4063
78,31,69.3,2880109333278500,69.3003307,0.3307
79,31,70.2,2880110233351100,70.2004033,0.4033
80,31,71.1,2880111133636400,71.1006886,0.6886
81,31,72.0,2880112033478100,72.0005303,0.5303
82,31,72.9,2880112933363500,72.9004157,0.4157
83,31,73.8,2880113833336100,73.8003883,0.3883
84,31,74.7,2880114733309900,74.7003621,0.3621
85,31,75.6,2880115633372100,75.6004243,0.4243
86,31,76.5,2880116533397400,76.5004496,0.4496
87,31,77.4,2880117433292300,77.4003445,0.3445
88,31,78.3,2880118333351600,78.3004038,0.4038
