trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,11,0.0,2521700668415700,0.0011168,1.1168
2,11,0.9,2521701567867900,0.900569,0.569
3,11,1.8,2521702467745100,1.8004462,0.4462
4,11,2.7,2521703367586800,2.7002879,0.2879
5,11,3.6,2521704267761700,3.6004628,0.4628
6,11,4.5,2521705167703100,4.5004042,0.4042
7,11,5.4,2521706067697300,5.4003984,0.3984
8,11,6.3,2521706967734600,6.3004357,0.4357
9,11,7.2,2521707867849900,7.200551,0.551
10,11,8.1,2521708767745100,8.1004462,0.4462
11,11,9.0,2521709667717900,9.000419,0.419
12,11,9.9,2521710567707300,9.9004084,0.4084
13,11,10.8,2521711467870700,10.8005718,0.5718
14,11,11.7,2521712367747800,11.7004489,0.4489
15,11,12.6,2521713267781700,12.6004828,0.4828
16,11,13.5,2521714167737800,13.5004389,0.4389
17,11,14.4,2521715067821400,14.4005225,0.5225
18,11,15.3,2521715967841800,15.3005429,0.5429
19,12,16.2,2521716867898300,16.2005994,0.5994
20,11,17.1,2521717767787000,17.1004881,0.4881
21,11,18.0,2521718667889500,18.0005906,0.5906
22,12,18.9,2521719567750300,18.9004514,0.4514
23,11,19.8,2521720467656600,19.8003577,0.3577
24,11,20.7,2521721367818700,20.7005198,0.5198
25,11,21.6,2521722267801200,21.6005023,0.5023
26,11,22.5,2521723167821800,22.5005229,0.5229
27,12,23.4,2521724067727000,23.4004281,0.4281
28,11,24.3,2521724967847300,24.3005484,0.5484
29,11,25.2,2521725867824200,25.2005253,0.5253
30,11,26.1,2521726767817700,26.1005188,0.5188
31,11,27.0,2521727667764500,27.0004656,0.4656
32,11,27.9,2521728567868700,27.9005698,0.5698
33,11,28.8,2521729467884400,28.8005855,0.5855
34,12,29.7,2521730367671000,29.7003721,0.3721
35,11,30.6,2521731267702100,30.6004032,0.4032
36,11,31.5,2521732167856200,31.5005573,0.5573
37,12,32.4,2521733067821400,32.4005225,0.5225
38,11,33.3,2521733967653700,33.3003548,0.354801
39,11,34.2,2521734867770900,34.200472,0.472
40,11,35.1,2521735767874300,35.1005754,0.5754
41,12,36.0,2521736667728100,36.0004292,0.4292
42,11,36.9,2521737567834300,36.9005354,0.5354
43,11,37.8,2521738467749900,37.800451,0.451
44,12,38.7,2521739367714000,38.7004151,0.4151
45,11,39.6,2521740267784000,39.6004851,0.4851
46,11,40.5,2521741167693300,40.5003944,0.3944
47,11,41.4,2521742067724900,41.400426,0.426
48,11,42.3,2521742967845800,42.3005469,0.5469
49,11,43.2,2521743867839400,43.2005405,0.5405
50,12,44.1,2521744767757600,44.1004587,0.4587
51,11,45.0,2521745667795500,45.0004966,0.4966
52,11,45.9,2521746567749100,45.9004502,0.4502
53,11,46.8,2521747467786100,46.8004872,0.4872
54,12,47.7,2521748367758100,47.7004592,0.4592
55,11,48.6,2521749267815700,48.6005168,0.5168
56,11,49.5,2521750167744100,49.5004452,0.4452
57,11,50.4,2521751067837100,50.4005382,0.5382
58,11,51.3,2521751967745700,51.3004468,0.4468
59,11,52.2,2521752867691600,52.2003927,0.3927
