trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,21,0.0,3936656046848200,0.0006595,0.6595
2,21,0.9,3936656946509500,0.9003208,0.3208
3,21,1.8,3936657846519400,1.8003307,0.3307
4,21,2.7,3936658746521800,2.7003331,0.3331
5,21,3.6,3936659646565700,3.600377,0.377
6,21,4.5,3936660546561400,4.5003727,0.3727
7,21,5.4,3936661446559300,5.4003706,0.3706
8,21,6.3,3936662346558800,6.3003701,0.3701
9,21,7.2,3936663246507400,7.2003187,0.3187
10,21,8.1,3936664146692400,8.1005037,0.5037
11,21,9.0,3936665046591200,9.0004025,0.4025
12,21,9.9,3936665946602800,9.9004141,0.4141
13,21,10.8,3936666846579900,10.8003912,0.3912
14,21,11.7,3936667746597200,11.7004085,0.4085
15,21,12.6,3936668646503500,12.6003148,0.3148
16,21,13.5,3936669546571700,13.500383,0.383
17,21,14.4,3936670446551600,14.4003629,0.3629
18,21,15.3,3936671346559800,15.3003711,0.3711
19,22,16.2,3936672246575700,16.200387,0.387
20,21,17.1,3936673146595000,17.1004063,0.4063
21,21,18.0,3936674046598300,18.0004096,0.4096
22,22,18.9,3936674946557100,18.9003684,0.3684
23,21,19.8,3936675846547200,19.8003585,0.3585
24,21,20.7,3936676746567500,20.7003788,0.3788
25,21,21.6,3936677646605800,21.6004171,0.4171
26,21,22.5,3936678546593000,22.5004043,0.4043
27,22,23.4,3936679446602700,23.400414,0.414
28,21,24.3,3936680346511600,24.3003229,0.3229
29,21,25.2,3936681246494100,25.2003054,0.3054
30,21,26.1,3936682146642200,26.1004535,0.4535
31,21,27.0,3936683046511400,27.0003227,0.3227
32,21,27.9,3936683946604900,27.9004162,0.4162
33,21,28.8,3936684846542500,28.8003538,0.3538
34,22,29.7,3936685746502600,29.7003139,0.3139
35,21,30.6,3936686646598000,30.6004093,0.4093
36,21,31.5,3936687546694200,31.5005055,0.5055
37,22,32.4,3936688446528000,32.4003393,0.3393
38,21,33.3,3936689346554200,33.3003655,0.365501
39,21,34.2,3936690246562600,34.2003739,0.3739
40,21,35.1,3936691146587100,35.1003984,0.3984
41,22,36.0,3936692046543800,36.0003551,0.3551
42,21,36.9,3936692946514200,36.9003255,0.3255
43,21,37.8,3936693846648500,37.8004598,0.4598
