trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,31,0.0,358753701587000,0.0006642,0.6642
2,31,0.9,358754601511500,0.9005887,0.5887
3,31,1.8,358755501659800,1.800737,0.737
4,31,2.7,358756401397800,2.700475,0.475
5,31,3.6,358757301371600,3.6004488,0.4488
6,31,4.5,358758201390000,4.5004672,0.4672
7,31,5.4,358759101495800,5.400573,0.573
8,31,6.3,358760001394700,6.3004719,0.4719
9,31,7.2,358760901387700,7.2004649,0.4649
10,31,8.1,358761801436000,8.1005132,0.5132
11,31,9.0,358762701372800,9.00045,0.45
12,31,9.9,358763601437600,9.9005148,0.5148
13,31,10.8,358764501303000,10.8003802,0.3802
14,31,11.7,358765401525500,11.7006027,0.6027
15,31,12.6,358766301295500,12.6003727,0.3727
16,31,13.5,358767201403000,13.5004802,0.4802
17,31,14.4,358768101318000,14.4003952,0.3952
18,31,15.3,358769001241000,15.3003182,0.3182
19,31,16.2,358769901290400,16.2003676,0.3676
20,31,17.1,358770801290000,17.1003672,0.3672
21,31,18.0,358771701294300,18.0003715,0.3715
22,31,18.9,358772601343200,18.9004204,0.4204
23,31,19.8,358773501415200,19.8004924,0.4924
24,31,20.7,358774401237900,20.7003151,0.3151
25,31,21.6,358775301326900,21.6004041,0.4041
26,31,22.5,358776201281200,22.5003584,0.3584
27,31,23.4,358777101360200,23.4004374,0.4374
28,31,24.3,358778001273600,24.3003508,0.3508
29,31,25.2,358778901394400,25.2004716,0.4716
30,31,26.1,358779801345300,26.1004225,0.4225
31,31,27.0,358780701330600,27.0004078,0.4078
32,31,27.9,358781601455700,27.9005329,0.5329
33,31,28.8,358782501462500,28.8005397,0.5397
34,31,29.7,358783401380100,29.7004573,0.4573
35,31,30.6,358784301485300,30.6005625,0.5625
36,31,31.5,358785201466300,31.5005435,0.5435
37,31,32.4,358786101436500,32.4005137,0.5137
38,31,33.3,358787001448700,33.3005259,0.525901
39,31,34.2,358787901315300,34.2003925,0.3925
40,31,35.1,358788801410400,35.1004876,0.4876
41,31,36.0,358789701270600,36.0003478,0.3478
42,31,36.9,358790601420600,36.9004978,0.4978
43,31,37.8,358791501539900,37.8006171,0.6171
44,31,38.7,358792401438300,38.7005155,0.5155
45,31,39.6,358793301463000,39.6005402,0.5402
46,31,40.5,358794201431100,40.5005083,0.5083
47,31,41.4,358795101484700,41.4005619,0.5619
48,31,42.3,358796001390900,42.3004681,0.4681
49,31,43.2,358796901480200,43.2005574,0.5574
50,31,44.1,358797801391200,44.1004684,0.4684
51,31,45.0,358798701465100,45.0005423,0.5423
52,31,45.9,358799601388300,45.9004655,0.4655
53,31,46.8,358800501398900,46.8004761,0.4761
54,31,47.7,358801401339700,47.7004169,0.4169
55,31,48.6,358802301384600,48.6004618,0.4618
56,31,49.5,358803201484500,49.5005617,0.5617
57,31,50.4,358804101391800,50.400469,0.469
58,31,51.3,358805001572200,51.3006494,0.6494
59,31,52.2,358805901303800,52.200381,0.381
60,31,53.1,358806801406100,53.1004833,0.4833
61,31,54.0,358807701404600,54.0004818,0.4818
62,31,54.9,358808601416600,54.9004938,0.4938
63,31,55.8,358809501423100,55.8005003,0.5003
64,31,56.7,358810401499600,56.7005768,0.5768
65,31,57.6,358811301410600,57.6004878,0.4878
66,31,58.5,358812201386500,58.5004637,0.4637
67,31,59.4,358813101460700,59.4005379,0.5379
68,31,60.3,358814001237100,60.3003143,0.3143
69,31,61.2,358814901434600,61.2005118,0.5118
70,31,62.1,358815801360000,62.1004372,0.4372
71,31,63.0,358816701434500,63.0005117,0.5117
72,31,63.9,358817601318000,63.9003952,0.3952
73,31,64.8,358818501394300,64.8004715,0.4715
74,31,65.7,358819401282100,65.7003593,0.3593
75,31,66.6,358820301449800,66.600527,0.527001
76,31,67.5,358821201394800,67.500472,0.472
77,31,68.4,358822101389700,68.4004669,0.4669
78,31,69.3,358823001415500,69.3004927,0.4927
79,31,70.2,358823901445100,70.2005223,0.5223
80,31,71.1,358824801456900,71.1005341,0.5341
81,31,72.0,358825701400200,72.0004774,0.4774
82,31,72.9,358826601397900,72.9004751,0.4751
83,31,73.8,358827501461900,73.8005391,0.5391
84,31,74.7,358828401740400,74.7008176,0.8176
85,31,75.6,358829301531200,75.6006084,0.6084
86,31,76.5,358830201365400,76.5004426,0.4426
87,31,77.4,358831101417600,77.4004948,0.4948
88,31,78.3,358832001344700,78.3004219,0.4219
89,31,79.2,358832901395200,79.2004724,0.4724
90,31,80.1,358833801435600,80.1005128,0.5128
91,31,81.0,358834701278500,81.0003557,0.3557
92,31,81.9,358835601347300,81.9004245,0.4245
93,31,82.8,358836501351300,82.8004285,0.4285
94,31,83.7,358837401362600,83.7004398,0.4398
95,31,84.6,358838301384800,84.600462,0.462
96,31,85.5,358839201444100,85.5005213,0.5213
97,31,86.4,358840101469100,86.4005463,0.5463
98,31,87.3,358841001402400,87.3004796,0.4796
99,31,88.2,358841901364000,88.2004412,0.4412
100,31,89.1,358842801444100,89.1005213,0.5213
101,31,90.0,358843701450200,90.0005274,0.5274
102,31,90.9,358844601361000,90.9004382,0.4382
103,31,91.8,358845501439400,91.8005166,0.5166
104,31,92.7,358846401375500,92.7004527,0.4527
105,31,93.6,358847301492600,93.6005698,0.5698
106,31,94.5,358848201477400,94.5005546,0.5546
107,31,95.4,358849101280400,95.4003576,0.3576
108,31,96.3,358850001388200,96.3004654,0.4654
109,31,97.2,358850901371800,97.200449,0.449
110,31,98.1,358851801388800,98.100466,0.466
111,31,99.0,358852701425800,99.000503,0.503
112,31,99.9,358853601517700,99.9005949,0.5949
113,31,100.8,358854501437600,100.8005148,0.5148
114,31,101.7,358855401617900,101.7006951,0.6951
115,31,102.6,358856301408000,102.6004852,0.4852
116,31,103.5,358857201374000,103.5004512,0.4512
117,31,104.4,358858101462800,104.40054,0.54
118,31,105.3,358859001451000,105.3005282,0.5282
119,31,106.2,358859901372400,106.2004496,0.4496
